recorded_at_utc,summary_phase,cycle_number,session_asset,session_event_id,session_market_id,session_condition_id,session_title,session_slug,window_start_utc,window_end_utc,time_left,balance,cash,open_value,exposure,lifetime_buys,realized,unrealized,trades,market_max_alpha,avg_max_alpha,first_entry_rule,total_trades,avg_win_rate_per_trade,avg_trades_per_market,avg_buy_alpha,balance_std_dev,overall_return,return_per_market,return_per_day,this_market,start_ref,current_ref,sigma_per_sqrt_s,fair_up,cycle_duration,reconnects
2026-04-15T21:30:05.702264+00:00,finished,1,ethereum,379688,1985582,0x441a8a4d0e94e90bc319783b94563bd3eca307b1ca965a08ecd01eafeaf72b6a,"Ethereum Up or Down - April 15, 5:25PM-5:30PM ET",eth-updown-5m-1776288300,2026-04-15T21:25:00+00:00,2026-04-15T21:30:00+00:00,0s,$53.05,$53.05,$0.00,$0.00 / $3.00,$1.95 / $3.00,$3.05,$0.00,5,0.9894,0.9894,used,5,100.0%,5.00,+0.2013,$1.21,6.1%,6.1%,1755.0%,6.1%,2353.0400,2353.4950,0.126295,1.0000,4m 48s,0
2026-04-15T21:35:05.354447+00:00,finished,2,ethereum,379704,1985598,0x89622cabba028be3546a23a2527d618ce7e17920bd89ecc6fd734d85d5a26c20,"Ethereum Up or Down - April 15, 5:30PM-5:35PM ET",eth-updown-5m-1776288600,2026-04-15T21:30:00+00:00,2026-04-15T21:35:00+00:00,0s,$53.57,$53.57,$0.00,$0.00 / $3.00,$0.48 / $3.00,$0.52,$0.00,1,0.1442,0.5668,used,6,100.0%,3.00,+0.1904,$0.06,7.1%,3.5%,1019.9%,1.0%,2353.4950,2351.6650,0.133049,0.0000,4m 59s,0
2026-04-15T21:40:05.303692+00:00,finished,3,ethereum,379710,1985626,0xf4e190ebbe6e904a4872dd76b4a9618841a5626fc6bc4572295173b1dda1b970,"Ethereum Up or Down - April 15, 5:35PM-5:40PM ET",eth-updown-5m-1776288900,2026-04-15T21:35:00+00:00,2026-04-15T21:40:00+00:00,0s,$53.19,$53.19,$0.00,$0.00 / $3.00,$0.38 / $3.00,$-0.38,$0.00,2,0.2002,0.4446,used,8,75.0%,2.67,+0.1865,$0.00,6.4%,2.1%,612.1%,-0.7%,2351.6650,2359.6500,0.194740,1.0000,4m 58s,0
2026-04-15T21:45:05.378588+00:00,finished,4,ethereum,379715,1985633,0x7dc23264737af5cd3aea83134bdbe6ec4c5da7fdcb01ca679c5c75c8b4f7ef92,"Ethereum Up or Down - April 15, 5:40PM-5:45PM ET",eth-updown-5m-1776289200,2026-04-15T21:40:00+00:00,2026-04-15T21:45:00+00:00,0s,$52.82,$52.82,$0.00,$0.00 / $3.00,$0.38 / $3.00,$-0.38,$0.00,2,0.2008,0.3836,used,10,60.0%,2.50,+0.1801,$0.12,5.6%,1.4%,408.1%,-0.7%,2360.2450,2358.8000,0.205138,0.0000,4m 59s,0
2026-04-15T21:50:05.499632+00:00,finished,5,ethereum,379724,1985668,0x95acd134a82943c69a8b237ef668467c0b1f08a432fa7ec21547cbf1c0cc03bf,"Ethereum Up or Down - April 15, 5:45PM-5:50PM ET",eth-updown-5m-1776289500,2026-04-15T21:45:00+00:00,2026-04-15T21:50:00+00:00,0s,$53.19,$53.19,$0.00,$0.00 / $3.00,$0.62 / $3.00,$0.38,$0.00,1,0.1830,0.3435,used,11,63.6%,2.20,+0.1803,$0.04,6.4%,1.3%,367.4%,0.7%,2358.8000,2361.6350,0.159580,1.0000,4m 59s,0
2026-04-15T21:55:05.538036+00:00,finished,6,ethereum,379739,1985682,0xdc5e1df213183f94e8a0ef501ee8de717cbf4cb71ea7496058548b6c2986ca9d,"Ethereum Up or Down - April 15, 5:50PM-5:55PM ET",eth-updown-5m-1776289800,2026-04-15T21:50:00+00:00,2026-04-15T21:55:00+00:00,0s,$52.79,$52.79,$0.00,$0.00 / $3.00,$0.40 / $3.00,$-0.40,$0.00,2,0.2102,0.3213,used,13,53.8%,2.17,+0.1774,$0.09,5.6%,0.9%,270.2%,-0.7%,2361.6350,2362.7550,0.122843,1.0000,4m 59s,0
2026-04-15T22:00:05.293774+00:00,finished,7,ethereum,379779,1985773,0xacb73d14033141c9663dd02bcdc6e6997269a874ce107c64ca0ce8db25df01d0,"Ethereum Up or Down - April 15, 5:55PM-6:00PM ET",eth-updown-5m-1776290100,2026-04-15T21:55:00+00:00,2026-04-15T22:00:00+00:00,0s,$52.06,$52.06,$0.00,$0.00 / $3.00,$0.73 / $3.00,$-0.73,$0.00,2,0.2473,0.3107,used,15,46.7%,2.14,+0.1771,$0.04,4.1%,0.6%,174.8%,-1.4%,2362.7550,2361.4950,0.225341,0.0000,4m 58s,0
2026-04-15T22:05:05.464521+00:00,finished,8,ethereum,379835,1986397,0x71a441024b7b0973783339b165e95e7abde095b8b61430c298a3c9ff2b5463e1,"Ethereum Up or Down - April 15, 6:00PM-6:05PM ET",eth-updown-5m-1776290400,2026-04-15T22:00:00+00:00,2026-04-15T22:05:00+00:00,0s,$51.79,$51.79,$0.00,$0.00 / $3.00,$0.27 / $3.00,$-0.27,$0.00,1,0.1917,0.2958,used,16,43.8%,2.00,+0.1737,$0.00,3.6%,0.5%,134.2%,-0.5%,2361.4950,2370.4150,0.354122,1.0000,4m 59s,0
2026-04-15T22:10:05.236805+00:00,finished,9,ethereum,379848,1986436,0xd6c4dc52c3278347d8f7ace36aa8c2ecb282659280353eff910cbff379c96efc,"Ethereum Up or Down - April 15, 6:05PM-6:10PM ET",eth-updown-5m-1776290700,2026-04-15T22:05:00+00:00,2026-04-15T22:10:00+00:00,0s,$55.17,$55.17,$0.00,$0.00 / $3.00,$1.63 / $3.00,$3.37,$0.00,5,0.3554,0.3025,used,21,57.1%,2.33,+0.1807,$1.11,10.3%,1.1%,327.7%,6.5%,2370.8550,2378.8850,0.337275,1.0000,4m 59s,0
2026-04-15T22:15:05.302897+00:00,finished,10,ethereum,379861,1986448,0xb09ea7b88af5e67bd14671c036f852e7db6edcd7eef9656300647b78601e70c1,"Ethereum Up or Down - April 15, 6:10PM-6:15PM ET",eth-updown-5m-1776291000,2026-04-15T22:10:00+00:00,2026-04-15T22:15:00+00:00,0s,$54.22,$54.22,$0.00,$0.00 / $3.00,$0.94 / $3.00,$-0.94,$0.00,5,0.2242,0.2946,used,26,46.2%,2.60,+0.1834,$0.06,8.4%,0.9%,245.7%,-1.7%,2378.5600,2374.3450,0.250048,0.0000,4m 59s,0
2026-04-15T22:20:05.134149+00:00,finished,11,ethereum,379874,1986502,0xff43718b9ab6ab0fc3ff02faae47c267cc17a12fa3fc0a81eb1dca29c5232bfe,"Ethereum Up or Down - April 15, 6:15PM-6:20PM ET",eth-updown-5m-1776291300,2026-04-15T22:15:00+00:00,2026-04-15T22:20:00+00:00,0s,$54.22,$54.22,$0.00,$0.00 / $3.00,$0.00 / $3.00,$0.00,$0.00,0,0.0705,0.2743,armed,26,46.2%,2.36,+0.1834,$0.00,8.4%,0.8%,223.4%,0.0%,2374.2750,2366.5950,0.240634,0.0000,4m 58s,0
2026-04-15T22:25:05.198324+00:00,finished,12,ethereum,379879,1986511,0xf57de427298554683fca533ae168be520ade1e7ba606bfa0e7f6532f3dd3d61e,"Ethereum Up or Down - April 15, 6:20PM-6:25PM ET",eth-updown-5m-1776291600,2026-04-15T22:20:00+00:00,2026-04-15T22:25:00+00:00,0s,$54.22,$54.22,$0.00,$0.00 / $3.00,$0.00 / $3.00,$0.00,$0.00,0,0.0403,0.2548,armed,26,46.2%,2.17,+0.1834,$0.00,8.4%,0.7%,204.7%,0.0%,2366.5950,2370.5700,0.189079,1.0000,4m 59s,0
2026-04-15T22:30:05.127881+00:00,finished,13,ethereum,379890,1986535,0xb817703276e5bd28da95c73212a3ce923707de3d61ac4cc4693be04a1a0bffdf,"Ethereum Up or Down - April 15, 6:25PM-6:30PM ET",eth-updown-5m-1776291900,2026-04-15T22:25:00+00:00,2026-04-15T22:30:00+00:00,0s,$52.16,$52.16,$0.00,$0.00 / $3.00,$2.07 / $3.00,$-2.06,$0.00,6,0.3604,0.2629,used,32,38.7%,2.46,+0.1862,$1.28,4.3%,0.4%,104.8%,-3.8%,2370.5550,2368.4450,0.116355,0.0000,4m 59s,0
2026-04-15T22:35:05.181107+00:00,finished,14,ethereum,379906,1986555,0x0161487c64b79231feefa63b9e38c3b18e2e13a9c16778fd4daa6423c2d3337e,"Ethereum Up or Down - April 15, 6:30PM-6:35PM ET",eth-updown-5m-1776292200,2026-04-15T22:30:00+00:00,2026-04-15T22:35:00+00:00,0s,$49.63,$49.63,$0.00,$0.00 / $3.00,$2.53 / $3.00,$-2.53,$0.00,5,0.8164,0.3024,used,37,33.3%,2.64,+0.1904,$0.84,-0.7%,-0.0%,-2.4%,-4.8%,2368.3150,2368.0200,0.157036,0.0000,4m 59s,0
2026-04-15T22:40:05.172431+00:00,finished,15,ethereum,379912,1986587,0x347acc4824bac12266b6675e52982c209e00467519e3b2c92a6fb898164b69ac,"Ethereum Up or Down - April 15, 6:35PM-6:40PM ET",eth-updown-5m-1776292500,2026-04-15T22:35:00+00:00,2026-04-15T22:40:00+00:00,0s,$51.59,$51.59,$0.00,$0.00 / $3.00,$0.88 / $3.00,$1.96,$0.00,4,0.3139,0.3032,used,41,38.5%,2.73,+0.1894,$0.87,3.2%,0.3%,73.6%,4.0%,2368.1950,2374.6550,0.350035,1.0000,4m 58s,0
2026-04-15T22:45:05.177829+00:00,finished,16,ethereum,379921,1986597,0xc81d3e1710b3b15c88cf9a817d293765f3cbbab336c9d9f18052f1b597b2b5df,"Ethereum Up or Down - April 15, 6:40PM-6:45PM ET",eth-updown-5m-1776292800,2026-04-15T22:40:00+00:00,2026-04-15T22:45:00+00:00,0s,$50.79,$50.79,$0.00,$0.00 / $3.00,$0.80 / $3.00,$-0.80,$0.00,3,0.2177,0.2978,used,44,35.7%,2.75,+0.1898,$0.02,1.6%,0.1%,41.0%,-1.6%,2374.5050,2369.1550,0.178562,0.0000,4m 59s,0
2026-04-15T22:50:05.161161+00:00,finished,17,ethereum,379926,1986603,0xd7bdd349aca31df4e9e723d861bf79a31fcaf288148ca9b695fe73ae89700ec6,"Ethereum Up or Down - April 15, 6:45PM-6:50PM ET",eth-updown-5m-1776293100,2026-04-15T22:45:00+00:00,2026-04-15T22:50:00+00:00,0s,$52.61,$52.61,$0.00,$0.00 / $3.00,$2.93 / $3.00,$1.82,$0.00,6,0.2805,0.2968,used,50,42.6%,2.94,+0.1914,$0.06,5.2%,0.3%,99.4%,3.6%,2369.1550,2372.1100,0.155433,1.0000,4m 58s,0
2026-04-15T22:55:05.411823+00:00,finished,18,ethereum,379945,1986626,0x52a4d5bb44f2481ccfe457bf77278e4d27fab5a7e68b64d7c24bec67e055e052,"Ethereum Up or Down - April 15, 6:50PM-6:55PM ET",eth-updown-5m-1776293400,2026-04-15T22:50:00+00:00,2026-04-15T22:55:00+00:00,0s,$51.07,$51.07,$0.00,$0.00 / $3.00,$1.55 / $3.00,$-1.54,$0.00,6,0.5163,0.3090,used,56,38.5%,3.11,+0.1937,$0.60,2.1%,0.2%,46.9%,-2.9%,2372.3150,2371.1400,0.149275,0.0000,4m 59s,0
2026-04-15T23:00:05.251804+00:00,finished,19,ethereum,379953,1986640,0xb22852bc64ac20fda08abb8442ca23b42402ee9c1ac50cbe24d8bc5fc178b65e,"Ethereum Up or Down - April 15, 6:55PM-7:00PM ET",eth-updown-5m-1776293700,2026-04-15T22:55:00+00:00,2026-04-15T23:00:00+00:00,0s,$50.90,$50.90,$0.00,$0.00 / $3.00,$0.17 / $3.00,$-0.17,$0.00,1,0.1567,0.3010,used,57,37.7%,3.00,+0.1924,$0.00,1.8%,0.1%,39.4%,-0.3%,2371.1750,2363.9850,0.219757,0.0000,4m 59s,0
2026-04-15T23:05:05.220540+00:00,finished,20,ethereum,379966,1986695,0x3ce7fb11ddab59e0f75effd545ee0af000b74595c7b7cac3483636f15644f9ec,"Ethereum Up or Down - April 15, 7:00PM-7:05PM ET",eth-updown-5m-1776294000,2026-04-15T23:00:00+00:00,2026-04-15T23:05:00+00:00,0s,$50.90,$50.90,$0.00,$0.00 / $3.00,$0.00 / $3.00,$0.00,$0.00,0,0.2743,0.2997,armed,57,37.7%,2.85,+0.1924,$0.00,1.8%,0.1%,37.4%,0.0%,2364.0250,2360.4350,0.177667,0.0000,4m 59s,0
2026-04-15T23:10:05.207804+00:00,finished,21,ethereum,379979,1986719,0xa3116b18d5ee9be9ba937ff0569d2e1467ee4f0c64e2b5c51fe2516cfb141240,"Ethereum Up or Down - April 15, 7:05PM-7:10PM ET",eth-updown-5m-1776294300,2026-04-15T23:05:00+00:00,2026-04-15T23:10:00+00:00,0s,$48.74,$48.74,$0.00,$0.00 / $3.00,$2.16 / $3.00,$-2.16,$0.00,5,0.9894,0.3325,used,62,34.5%,2.95,+0.1925,$0.86,-2.5%,-0.1%,-22.6%,-4.2%,2360.3450,2360.2850,0.171551,0.0000,4m 59s,0
